Feature,DispersionRatio
V133,1.8439015103550338
V134,1.8437653356167696
V127,1.8435742223275253
V322,1.8434225200325365
V132,1.843388921680532
V324,1.8433352437843358
V128,1.843311881123881
V323,1.8430265121803489
V126,1.842912753440013
V316,1.8429049091197087
V331,1.8427840823121753
V143,1.8427717618608719
V332,1.8427601160899933
V333,1.842547242806973
V293,1.8424710890099818
V306,1.8423316901731714
V279,1.8422527910373379
V164,1.8422315213357525
V211,1.838476740793172
V311,1.8335319721467538
V202,1.8320328924826839
V136,1.831033088406031
V329,1.830519468891548
V177,1.8296347333519805
V308,1.828514360656453
V167,1.8280031629186706
V179,1.8274213046363115
V318,1.8270782591039643
V178,1.8266409015793477
V269,1.8251766295317653
V165,1.8229148390695997
V137,1.8227503006489236
V213,1.8221313371388665
V321,1.8205863941771185
V168,1.8197131746330661
V267,1.8184517201932862
V280,1.8170437726278343
V319,1.8169888726369365
V338,1.8165769183509126
V206,1.816272541161255
V135,1.8160015769149662
V129,1.814598822694483
V295,1.8143940247732153
V266,1.8140819557578434
V309,1.808621577470942
V330,1.8064432462837676
V320,1.804614507711266
V334,1.8035911548929584
V299,1.802505265091184
V337,1.8021629369481382
V339,1.8018442339389849
V212,1.7918465596441715
V204,1.7814448638232925
V268,1.7794421120054356
V298,1.7732840155482374
V310,1.7700072503618918
V159,1.7661800525893987
V150,1.764017495909021
V312,1.7564478941750639
V145,1.7553945026760491
V130,1.7540736973634714
V264,1.7525437452253216
V151,1.745373945105749
V144,1.7446784916264015
V160,1.739650281051612
V131,1.7338181304669982
V265,1.7207864076828707
V263,1.7156211467079103
V307,1.7125641915603094
V274,1.7124593515129485
V296,1.7121580210312817
V275,1.6974949257107865
V317,1.6952717572138345
V273,1.6925874437906885
V336,1.6913595382407758
V166,1.6905090857507876
V276,1.6822265643355847
V214,1.671511817645608
V152,1.6657241466095851
V278,1.647170005478428
V297,1.6395558659094664
V328,1.63881740177949
V203,1.6295340454820564
V335,1.6277725587705985
V277,1.602741091743299
V205,1.5876169684584305
V226,1.584669749610417
V219,1.572828896757182
V216,1.5723473983650005
V294,1.563486405493995
V285,1.5488959138166567
V217,1.5478792494395026
V231,1.5400955537510672
V253,1.531137479292142
V233,1.522330740792865
V218,1.522042196890804
V209,1.5115057543100792
V182,1.508174294838721
V207,1.5050111106756625
V326,1.482207726691005
V183,1.472167766838745
V287,1.4538852531693465
V232,1.4423682081768747
V172,1.419986371556445
id_10,1.4075834175999569
V180,1.387528665498458
V286,1.3574109817855151
id_36,1.3277676647242571
V234,1.3204692083226308
V327,1.3085168272077792
V236,1.302156553241112
V225,1.2935479750174308
V270,1.2716534106315884
V224,1.252449127751839
V173,1.2491613208482997
V215,1.242017580347745
V208,1.2122487079199682
V237,1.203020911590233
V314,1.2027171631892537
V161,1.2017687817868041
card4,1.1939574782077986
V284,1.1877726668693414
V193,1.1810714707862293
V240,1.173704492397799
V175,1.1551965852396826
V210,1.1424899922069438
V227,1.135416624927327
V223,1.1269602530694762
id_33,1.1138512204280278
V325,1.1093168019877513
id_19,1.0982346652579014
id_14,1.094614213232818
id_18,1.0935184497218304
id_11,1.0933489459164494
V313,1.0931523214747836
id_34,1.0921045547161525
TransactionID,1.0919370675356534
V163,1.089022320135528
ProductCD,1.0839279342715071
id_28,1.0799193861043068
TransactionDT,1.0770086257811564
V254,1.0768195697257819
id_20,1.073906554472589
id_35,1.0722318899057801
card3,1.0678192398028372
id_30,1.0669122461674805
id_37,1.0591287954796416
card1,1.0507036123180782
id_32,1.0472377222079585
id_31,1.0452943303351983
id_38,1.0415797760690135
V192,1.0405811528530902
V288,1.0319363993385369
V272,1.029709582618572
V187,1.0293740250384154
id_17,1.0152196579327166
V282,1.0073638336436372
V196,1.004552311582919
V271,1.004260852448612
V303,1.0040260640559397
V181,1.0019220266015154
V302,0.9997178600029545
card2,0.9884791821426473
V304,0.9837107266110992
id_05,0.982799956201331
DeviceType,0.9778604596981221
V281,0.9757819466304619
V300,0.9710176436753946
V301,0.970740152918804
id_15,0.9651302932169258
id_06,0.9648526467551467
V162,0.9568157618102618
V174,0.9520073945556519
V248,0.9505713014592164
DeviceInfo,0.9498429750731756
id_26,0.9407158011427529
V241,0.9393844900996102
id_13,0.9341501623517602
TransactionAmt,0.928109438892793
id_25,0.9198233763958455
id_02,0.9179422345147945
V315,0.8961688413197201
id_08,0.8866538402199753
V191,0.8816508183889558
id_07,0.8609235653012265
V138,0.8554286643800989
V289,0.8323711665941952
id_24,0.8200682626939679
V283,0.8060327231208366
id_23,0.7812227212768199
id_21,0.7724117901782107
V229,0.7714482966903459
V290,0.7669827729139713
V245,0.7662191207892628
V139,0.7385631233123482
V235,0.7133993988405495
id_01,0.6853323938790136
V141,0.6669263157765489
V255,0.6533879614253265
id_09,0.6486701559168515
V261,0.6419588790714998
V186,0.61652362756275
V249,0.606686419079148
id_22,0.597928929468204
V142,0.5975655736720434
V256,0.5910597134307122
V221,0.588888811193845
V140,0.5744479727328102
V243,0.5504460668294141
V222,0.5236673728631784
V250,0.515052631557966
V259,0.5121248623378432
V260,0.4939813049104493
V251,0.48537103099225054
V153,0.48016099932559553
V184,0.4711711276138468
V238,0.46342351627169104
V194,0.45826201131801947
V176,0.45672564582894154
V262,0.4527451168383821
V154,0.4475276325405054
V169,0.4402855628711368
V220,0.4212895848014675
V230,0.41219793339716454
V157,0.3985612796167246
V190,0.3985138711076372
V239,0.3948220078030272
V148,0.3947269217646058
V185,0.38726337942034583
V146,0.3822026899542879
V171,0.3751778288221165
V195,0.3747233286283562
V124,0.3734189126283283
V155,0.36435904917586537
id_04,0.36368372983816405
V199,0.35608509058493965
V197,0.3545167074198909
V158,0.35340544646966515
V258,0.3477006655923478
id_03,0.34668294575800107
V149,0.340645009898312
V121,0.3355919091904784
V198,0.3354177293406149
V156,0.32372783044042414
V147,0.31676196049144906
V122,0.30992137008647086
V125,0.3074271414815829
V170,0.29489448143171293
V120,0.29085186658894097
V228,0.2844692830330356
V252,0.2706002609898048
V247,0.2682898912419227
V292,0.26027374506208245
V123,0.24997820729486972
V242,0.24014942622589705
V189,0.2390652952174956
V244,0.23515126880169437
V188,0.22183676921872847
V291,0.22135570632184395
V246,0.2124540590430944
V257,0.21223476203722733
V201,0.2064610193973533
V200,0.19729721635864628
id_12,0.0
id_16,0.0
id_27,0.0
id_29,0.0
dist1,
C3,1.836517221069396
D2,1.6274338824639565
D10,1.6261527476262467
D11,
D13,1.4762823803271676
D1,1.4142636267010547
D5,1.4132137521031642
D7,1.3939211226084995
D8,1.3853511297314782
P_emaildomain,1.2954405735116938
D15,1.282416594961863
D3,1.2559790499294627
R_emaildomain,1.253227649619221
addr1,1.2213336934631767
D6,1.1975051075471308
D4,1.1732725100579062
dist2,1.0425100113266919
D12,1.021976790824549
card6,1.0163129400659558
card5,0.9620864022044265
D14,0.9035434480637966
addr2,0.888828287376136
M4,0.8400656044076144
D9,0.8210170548740718
C14,0.8094556346192282
C6,0.8062305705893555
C4,0.8058446341495895
C13,0.7969052804043809
C11,0.7957702578992675
C1,0.7925333277175669
C10,0.7902971036490541
C8,0.789310039130344
C7,0.7817410652302162
C12,0.7793761099149177
C2,0.7792830731252037
C5,0.0
C9,0.0
M1,0.0
M2,0.0
M3,0.0
M5,0.0
M6,0.0
M7,0.0
M8,0.0
M9,0.0
V1,
V2,
V3,
V4,
V5,
V6,
V7,
V8,
V9,
V10,
V11,
V102,1.8437284335708897
V89,1.8434917503763053
V27,1.8434699515345516
V103,1.8434616829564563
V28,1.8434560285398698
V68,1.8433417351117092
V96,1.8431311766738436
V97,1.8431300530525034
V101,1.8429000925779682
V95,1.842687313982799
V105,1.8364875557036213
V106,1.8198832442615518
V65,1.7353243982792514
V41,1.7163377573555214
V104,1.6618313516415875
V14,1.5761611121256625
V99,1.5179676418107635
V94,1.4996214260725431
V88,1.3871134679566584
V100,1.3568490699919753
V50,1.3425541090032844
V15,1.20254083137041
V33,1.1788225898143037
V16,1.1412335835014749
V98,1.117803273957723
V22,1.0889037938888946
V34,1.0768449470951948
V19,1.0551520961036844
V55,1.0172607833845628
V20,1.009447137411143
V21,0.987488936722812
V31,0.9665302119015894
V57,0.9414509452688371
V32,0.9196931425656293
V73,0.8714374021075084
V59,0.8713497712869082
V58,0.8502216105715091
V60,0.8480929941823425
V56,0.8378800596422489
V79,0.8333214783787539
V84,0.8094594963833516
V61,0.8092543192919698
V25,0.7970687491668206
V64,0.7916677976659315
V63,0.7816954354102877
V62,0.7613014688396461
V26,0.7425394896712304
V72,0.7187865952808286
V71,0.7121632599231793
V85,0.6962745632030266
V74,0.6959715415754754
V83,0.6927471580430067
V93,0.6675012273447479
V42,0.6289722827462685
V66,0.6161287592982522
V82,0.6105688740803327
V43,0.5296955183004259
V92,0.5289173973584101
V51,0.524274336220019
V67,0.509527779499915
V81,0.43791769910749373
V39,0.4175188273314152
V40,0.40368138949677773
V78,0.4017348208667865
V80,0.3893004058326337
V77,0.3736067852570995
V52,0.3730731086083209
V18,0.3395275839450243
V17,0.31459277359307114
V46,0.2979581869606217
V118,0.27467528794990004
V38,0.27255834113148647
V119,0.267387475470005
V37,0.26484938416296444
V117,0.2595620656567248
V115,0.25868889022660707
V47,0.25815954108856354
V116,0.24980813970001028
V114,0.24250784223462274
V24,0.23000821493815105
V87,0.22927717088902524
V86,0.22284486878347498
V23,0.21353278171429838
V109,0.20621719329185667
V112,0.2038135455444256
V110,0.20317281785376967
V113,0.20267392759410144
V108,0.20129754684884768
V111,0.2011425329169039
V45,0.1957225735422499
V44,0.18558650296916201
V12,0.0
V13,0.0
V29,0.0
V30,0.0
V35,0.0
V36,0.0
V48,0.0
V49,0.0
V53,0.0
V54,0.0
V69,0.0
V70,0.0
V75,0.0
V76,0.0
V90,0.0
V91,0.0
V107,0.0
V305,0.0
