iter	Logloss
0	0.5686561654
1	0.4737660704
2	0.4081402638
3	0.3498708924
4	0.309788233
5	0.2815163968
6	0.2598736752
7	0.2422493184
8	0.2270308159
9	0.2157782112
10	0.2066738515
11	0.1992742179
12	0.1930634545
13	0.1884658824
14	0.1833888767
15	0.1803391723
16	0.1758936666
17	0.1741782838
18	0.1714572412
19	0.1692755086
20	0.1670997213
21	0.165675989
22	0.1646194477
23	0.1636628085
24	0.162452936
25	0.1616760142
26	0.1609093316
27	0.1594086686
28	0.1587327038
29	0.1581460453
30	0.1573002783
31	0.1567796188
32	0.155955322
33	0.1551852678
34	0.1543624358
35	0.153756073
36	0.1534045313
37	0.1527417112
38	0.1523550175
39	0.1518777092
40	0.1512806628
41	0.1509126673
42	0.1500660089
43	0.1495625401
44	0.1489301734
45	0.1484982219
46	0.1481734436
47	0.1478101867
48	0.1472070349
49	0.1469359163
50	0.1465234346
51	0.1462731714
52	0.1459872343
53	0.1455761917
54	0.1451386625
55	0.1447926325
56	0.1446365399
57	0.1443181784
58	0.1440684031
59	0.1436827866
60	0.1433935136
61	0.1431263342
62	0.1429119986
63	0.1425185257
64	0.1422774525
65	0.1419879519
66	0.1416228227
67	0.1413507104
68	0.1411648243
69	0.1409103721
70	0.1407337991
71	0.1405127801
72	0.1403219258
73	0.1400552462
74	0.1398491056
75	0.1396437038
76	0.1395250665
77	0.1393120107
78	0.1388639897
79	0.1386677742
80	0.1384474947
81	0.1383150806
82	0.1379014669
83	0.1377392541
84	0.1374508683
85	0.1371840255
86	0.1370568794
87	0.1368771141
88	0.1364366604
89	0.1360430164
90	0.1357882086
91	0.1356233254
92	0.1353396587
93	0.1350723895
94	0.1348737587
95	0.1347679553
96	0.1345634387
97	0.1343890277
98	0.1341936368
99	0.1340362861
