iter	Passed	Remaining
0	15	1493
1	23	1174
2	33	1094
3	42	1031
4	52	997
5	61	967
6	71	945
7	80	921
8	89	905
9	99	897
10	110	891
11	119	877
12	129	867
13	139	856
14	148	843
15	160	840
16	169	828
17	179	816
18	188	805
19	199	796
20	209	787
21	219	779
22	229	767
23	238	756
24	287	863
25	297	846
26	307	830
27	316	814
28	326	799
29	336	784
30	346	771
31	356	758
32	366	743
33	375	729
34	385	716
35	394	701
36	404	688
37	415	677
38	424	664
39	434	651
40	444	640
41	454	627
42	463	614
43	474	603
44	484	592
45	494	580
46	503	568
47	513	556
48	523	544
49	532	532
50	543	521
51	552	510
52	563	499
53	573	488
54	583	477
55	591	465
56	600	453
57	611	442
58	621	431
59	630	420
60	641	409
61	650	398
62	660	387
63	670	377
64	680	366
65	689	355
66	699	344
67	709	333
68	718	322
69	727	311
70	737	301
71	747	290
72	757	280
73	767	269
74	777	259
75	787	248
76	796	238
77	806	227
78	817	217
79	826	206
80	836	196
81	847	185
82	856	175
83	865	164
84	875	154
85	885	144
86	894	133
87	903	123
88	912	112
89	922	102
90	933	92
91	942	81
92	955	71
93	968	61
94	979	51
95	989	41
96	999	30
97	1008	20
98	1019	10
99	1028	0
